sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score
no_sampling,var_threshold,log2_transform,pca,tree,0.252178404572073,0.317515032137674,0.281100076190361
no_sampling,var_threshold,log2_sztransform,umap,tree,0.268455964457454,0.332789642223605,0.297180930294865
no_sampling,select_univariate,no_norm,no_dim_reduction,tree,0.25587768983465,0.332746676803281,0.289292988147575
no_sampling,select_univariate,no_norm,pca,tree,0.278313580579764,0.330097104153708,0.302001622592396
no_sampling,select_univariate,no_norm,umap,tree,0.266363992195989,0.331391826203147,0.295340830123544
no_sampling,select_univariate,min_max_norm,no_dim_reduction,tree,0.323797638303493,0.342258391503675,0.332772181014641
no_sampling,select_univariate,min_max_norm,pca,tree,0.273896027660645,0.329596608841892,0.299175818997202
no_sampling,select_univariate,min_max_norm,umap,tree,0.279670632038996,0.327667772479093,0.301772627406138
no_sampling,select_univariate,robust_scaler,no_dim_reduction,tree,0.25587768983465,0.332746676803281,0.289292988147575
no_sampling,select_univariate,robust_scaler,pca,tree,0.233033867139721,0.329804524615845,0.273100147030429
no_sampling,select_univariate,robust_scaler,umap,tree,0.248989967829421,0.332465961711245,0.284735901399285
no_sampling,select_univariate,standard_scaler,no_dim_reduction,tree,0.272947873804961,0.336226530283134,0.301300632271244
no_sampling,select_univariate,standard_scaler,pca,tree,0.307961062644772,0.338289907157832,0.322413811842012
no_sampling,select_univariate,standard_scaler,umap,tree,0.244235895805395,0.333241758241758,0.28187964944976
no_sampling,select_univariate,log2_transform,no_dim_reduction,tree,0.255539343969988,0.332746676803281,0.289076620881581
no_sampling,select_univariate,log2_transform,pca,tree,0.387160445128778,0.350591724837008,0.367969770262165
no_sampling,select_univariate,log2_transform,umap,tree,0.308896006397599,0.336067569746815,0.321909434933093
no_sampling,select_l1,no_norm,no_dim_reduction,tree,0.348328051356425,0.351024028382519,0.349670843422406
no_sampling,select_l1,no_norm,pca,tree,0.278089587704496,0.326316723109176,0.300279071766635
no_sampling,select_l1,no_norm,umap,tree,0.393921461687396,0.338662773285415,0.364208041350082
no_sampling,select_l1,min_max_norm,no_dim_reduction,tree,0.338757154417107,0.348826226184717,0.343717963819788
no_sampling,select_l1,min_max_norm,pca,tree,0.351756279347094,0.368397954247011,0.359884834831221
no_sampling,select_l1,min_max_norm,umap,tree,0.353616804825332,0.345647015458336,0.349586492703729
no_sampling,select_l1,robust_scaler,no_dim_reduction,tree,0.348328051356425,0.351024028382519,0.349670843422406
no_sampling,select_l1,robust_scaler,pca,tree,0.215238822521388,0.321459096459096,0.25783769589448
no_sampling,select_l1,robust_scaler,umap,tree,0.417868488690242,0.346153270209874,0.378645090124182
no_sampling,select_l1,standard_scaler,no_dim_reduction,tree,0.348328051356425,0.351024028382519,0.349670843422406
no_sampling,select_l1,standard_scaler,pca,tree,0.415411724752232,0.369632202179372,0.391187156192539
no_sampling,select_l1,standard_scaler,umap,tree,0.243599496663596,0.32821088764485,0.279645173378558
no_sampling,select_l1,log2_transform,no_dim_reduction,tree,0.348328051356425,0.351024028382519,0.349670843422406
no_sampling,select_l1,log2_transform,pca,tree,0.311742191853936,0.338430437487041,0.324538565947434
no_sampling,select_l1,log2_transform,umap,tree,0.428752233234657,0.349223857903103,0.384923163270488
oversampling,var_threshold,no_norm,no_dim_reduction,tree,0.641433800156,0.638014029995162,0.639719344811879
oversampling,var_threshold,no_norm,pca,tree,0.631462031207523,0.634228350266086,0.632842167674749
oversampling,var_threshold,no_norm,umap,tree,0.616294178039931,0.615602322206096,0.615948055843504
